Model,CV_RMSE_Mean,CV_RMSE_Std
ExtraTrees,0.5297593453235977,0.09431699257538925
GradientBoosting,0.5383766724425941,0.09316330374909458
XGBoost,0.540588617145054,0.089350341449677
RandomForest,0.5677592023678647,0.09542651251070954
LightGBM,0.5844451350037922,0.0719255096654267
AdaBoost,0.5917102469524755,0.08854191519576406
DecisionTree,0.7320838556606116,0.02718642953713523
Ridge,0.8376115709067566,0.2566952128360464
Lasso,0.9151641527931569,0.18177024665485542
ElasticNet,0.9540884307037405,0.1791288511454017
LinearRegression,1.6572889851066777,1.1138727196661853
